序号,股票代码,股票简称,,上市日期,上市首日换手率(%),发行价(元),上市日期,CPI,PPI,板块涨幅,第一日涨幅,第二日涨幅,第三日涨幅,y
48,688056,莱伯泰科,2020/9/30,20200902,73.79,24.8,2020/9/2,1.7,-2.1,-9.75%,91.13,-0.06,-0.05,46.71
49,688057,金达莱,2020/11/30,20201111,64.93,25.84,2020/11/11,-0.5,-1.5,-0.46%,70.12,-0.12,0.07,40.07
50,688058,宝兰德,2019/11/30,20191101,74.69,79.3,2019/11/1,4.5,-1.4,-3.40%,26.36,-0.06,-0.04,69.37
51,688059,华锐精密,2021/2/28,20210208,86.59,37.09,2021/2/8,-0.2,1.7,2.68%,132.41,-0.05,-0.22,84.66
52,688060,云涌科技,2020/7/31,20200710,74.76,44.47,2020/7/10,2.7,-2.4,10.34%,468.05,-0.09,0.06,249.62
53,688061,灿瑞科技,2022/10/31,20221018,47.49,112.69,2022/10/18,2.1,-1.3,6.74%,-16.65,0,0.03,96.8
54,688062,迈威生物,2022/1/31,20220118,53.61,34.8,2022/1/18,0.9,9.1,-11.99%,-29.6,0.3,-0.14,31.9
55,688063,派能科技,2020/12/31,20201230,75.95,56,2020/12/30,0.2,-0.4,2.38%,320.16,0.1,0.16,299.89
56,688065,凯赛生物,2020/8/31,20200812,58.27,133.45,2020/8/12,2.4,-2,6.66%,17.65,-0.12,0.01,110.62
57,688066,航天宏图,2019/7/31,20190722,76.53,17.25,2019/7/22,2.8,-0.3,3.92%,175.94,0.04,0.04,64.74
58,688067,爱威科技,2021/6/30,20210616,71.12,14.71,2021/6/16,1.1,8.8,-1.05%,160.37,-0.18,-0.02,37.72
59,688068,热景生物,2019/9/30,20190930,74.3,29.46,2019/9/30,3,-1.2,2.52%,140.63,-0.04,-0.03,44.58
60,688069,德林海,2020/7/31,20200722,68.7,67.2,2020/7/22,2.7,-2.4,9.95%,51.34,-0.05,0.02,70.3
61,688070,纵横股份,2021/2/28,20210210,82.84,23.16,2021/2/10,-0.2,1.7,-1.50%,137.52,-0.09,0.01,54.66
62,688071,华依科技,2021/7/31,20210729,86.37,13.73,2021/7/29,1,9,4.05%,213.18,-0.09,-0.03,43
