序号,股票代码,股票简称,,上市日期,上市首日换手率(%),发行价(元),上市日期,CPI,PPI,板块涨幅,第一日涨幅,第二日涨幅,第三日涨幅,y
207,688233,神工股份,2020/2/29,20200221,74.08,21.67,2020/2/21,5.2,-0.4,6.87%,259.76,-0.02,0.01,76.75
208,688234,天岳先进,2022/1/31,20220112,69.44,82.79,2022/1/12,0.9,9.1,-14.96%,3.27,-0.04,-0.05,85.5
209,688235,百济神州,2021/12/31,20211215,34.24,192.6,2021/12/15,1.5,10.3,1.82%,-16.42,0,0.01,162
210,688236,春立医疗,2021/12/31,20211230,54.4,29.81,2021/12/30,1.5,10.3,1.68%,-3.99,-0.04,-0.01,28.42
211,688237,超卓航科,2022/7/31,20220701,79.52,41.27,2022/7/1,2.7,4.2,4.56%,68.4,-0.03,-0.03,69.5
212,688238,和元生物,2022/3/31,20220322,79.22,13.23,2022/3/22,1.5,8.3,1.64%,65.61,0.17,0.03,26.41
213,688239,航宇科技,2021/7/31,20210705,75.11,11.48,2021/7/5,1,9,3.63%,240.77,0.05,-0.01,46.88
214,688244,永信至诚,2022/10/31,20221019,81.05,49.19,2022/10/19,2.1,-1.3,21.46%,22.48,-0.06,0,61.53
215,688246,嘉和美康,2021/12/31,20211214,71.35,39.5,2021/12/14,1.5,10.3,3.25%,8.23,-0.01,0.04,44.37
216,688247,宣泰医药,2022/8/31,20220825,69.82,9.37,2022/8/25,2.5,2.3,-3.73%,45.14,-0.11,-0.03,13.6
217,688248,南网科技,2021/12/31,20211222,84.52,12.24,2021/12/22,1.5,10.3,8.88%,124.67,0.01,-0.05,27.68
219,688251,井松智能,2022/6/30,20220606,77.74,35.62,2022/6/6,2.5,6.1,10.42%,56.54,-0.13,0.02,55.76
220,688252,天德钰,2022/9/30,20220927,52.26,21.68,2022/9/27,2.8,0.9,-12.49%,-4.47,-0.09,-0.06,20.71
221,688253,英诺特,2022/7/31,20220728,76.54,26.06,2022/7/28,2.7,4.2,-1.54%,26.63,-0.09,0,33
222,688255,凯尔达,2021/10/31,20211025,72.41,47.11,2021/10/25,1.5,13.5,-1.81%,10.76,-0.13,-0.08,51.27
223,688256,寒武纪,2020/7/31,20200720,77.92,64.39,2020/7/20,2.7,-2.4,10.01%,229.86,0.29,0.03,281.5
224,688257,新锐股份,2021/10/31,20211027,50.03,62.3,2021/10/27,1.5,13.5,-0.35%,-14.04,-0.07,0,52.89
225,688258,卓易信息,2019/12/31,20191209,81.88,26.49,2019/12/9,4.5,-0.5,9.54%,108.38,0.43,-0.13,78.32
226,688259,创耀科技,2022/1/31,20220112,77.43,66.6,2022/1/12,0.9,9.1,-14.96%,32.36,-0.03,-0.04,107.91
227,688260,昀冢科技,2021/4/30,20210406,73.72,9.63,2021/4/6,0.9,6.8,-3.30%,196.26,-0.09,-0.1,28.37
228,688261,东微半导,2022/2/28,20220210,71.27,130,2022/2/10,0.9,8.8,4.72%,0.08,0.05,0.03,147.99
229,688262,国芯科技,2022/1/31,20220106,72.59,41.98,2022/1/6,0.9,9.1,-14.96%,11.29,0.01,0,47.35
230,688265,南模生物,2021/12/31,20211228,54.71,84.62,2021/12/28,1.5,10.3,-4.46%,-18.02,0.04,0.02,72.75
231,688266,泽璟制药,2020/1/31,20200123,64.12,33.76,2020/1/23,5.4,0.1,4.49%,120.94,-0.1,0.15,74.59
232,688267,中触媒,2022/2/28,20220216,74.56,41.9,2022/2/16,0.9,8.8,7.18%,0.72,0.07,-0.06,46.35
233,688268,华特气体,2019/12/31,20191226,77.56,22.16,2019/12/26,4.5,-0.5,18.02%,134.66,-0.08,-0.09,51.33
234,688269,凯立新材,2021/6/30,20210609,78.13,18.94,2021/6/9,1.1,8.8,-2.00%,320.22,0.46,-0.09,81.6
235,688270,臻镭科技,2022/1/31,20220127,51.3,61.88,2022/1/27,0.9,9.1,-14.96%,-9.18,-0.02,-0.01,55.92
236,688271,联影医疗,2022/8/31,20220822,60.76,109.88,2022/8/22,2.5,2.3,-3.43%,64.93,0,-0.03,182
237,688272,*ST富吉,2021/10/31,20211018,73.44,22.56,2021/10/18,1.5,13.5,1.05%,104.39,0.04,-0.09,48.15
238,688273,麦澜德,2022/8/31,20220811,71.88,40.29,2022/8/11,2.5,2.3,-3.43%,9.38,-0.01,-0.1,43.44
239,688275,万润新能,2022/9/30,20220929,38.39,299.88,2022/9/29,2.8,0.9,-11.28%,-27.59,-0.06,-0.05,217.14
240,688276,百克生物,2021/6/30,20210625,66.11,36.35,2021/6/25,1.1,8.8,-4.07%,226,-0.09,-0.07,118.3
241,688277,天智航,2020/7/31,20200707,75.13,12.04,2020/7/7,2.7,-2.4,16.19%,614.29,0.21,-0.02,118
242,688278,特宝生物,2020/1/31,20200117,78.2,8.24,2020/1/17,5.4,0.1,6.64%,328.4,0.21,0.15,49.1
243,688279,峰岹科技,2022/4/30,20220420,48.22,82,2022/4/20,2.1,8,-17.40%,-19.27,-0.07,-0.03,65.8
244,688280,精进电动,2021/10/31,20211027,78.53,13.78,2021/10/27,1.5,13.5,2.72%,28.45,-0.22,0.01,17.7
245,688281,华秦科技,2022/3/31,20220307,75.88,189.5,2022/3/7,1.5,8.3,-12.42%,37.2,0.01,0.12,209.13
246,688282,理工导航,2022/3/31,20220318,51.28,65.21,2022/3/18,1.5,8.3,-12.42%,-15.04,0.02,-0.06,55.59
247,688283,坤恒顺维,2022/2/28,20220215,78.42,33.8,2022/2/15,0.9,8.8,7.77%,11.04,0,-0.05,37.65
248,688285,高铁电气,2021/10/31,20211020,76.63,7.18,2021/10/20,1.5,13.5,-3.25%,48.33,-0.08,0,10.54
249,688286,敏芯股份,2020/8/31,20200810,79.42,62.67,2020/8/10,2.4,-2,-2.87%,269.4,-0.16,-0.11,230.69
250,688287,观典防务,2022/5/31,20220525,22.95,21.88,2022/5/25,2.1,6.4,13.98%,-23.63,0.08,-0.07,18.06
251,688288,鸿泉物联,2019/11/30,20191106,75.91,24.99,2019/11/6,4.5,-1.4,-4.16%,25.09,0.43,-0.17,43.99
252,688289,圣湘生物,2020/8/31,20200828,67.92,50.48,2020/8/28,2.4,-2,-6.54%,129.91,-0.08,0.01,73.04
253,688290,景业智能,2022/4/30,20220429,50.92,33.89,2022/4/29,2.1,8,-18.61%,-6.37,0.07,-0.06,28.07
254,688291,金橙子,2022/10/31,20221026,71.28,26.77,2022/10/26,2.1,-1.3,21.46%,27.16,-0.05,-0.13,34.04
255,688292,浩瀚深度,2022/8/31,20220818,69.09,16.56,2022/8/18,2.5,2.3,-2.13%,20.17,-0.07,-0.02,19.9
256,688293,奥浦迈,2022/9/30,20220902,73.47,80.2,2022/9/2,2.8,0.9,-11.32%,58.65,-0.1,0.03,127.24
257,688295,中复神鹰,2022/4/30,20220406,72.48,29.33,2022/4/6,2.1,8,-18.80%,24.62,-0.09,-0.04,36.55
258,688296,和达科技,2021/7/31,20210727,71.02,12.46,2021/7/27,1,9,-4.32%,161.72,-0.19,0.25,36.76
260,688298,东方生物,2020/2/29,20200205,69.13,21.25,2020/2/5,5.2,-0.4,8.01%,586.96,-0.12,0.06,97.25
261,688299,长阳科技,2019/11/30,20191106,74,13.71,2019/11/6,4.5,-1.4,0.51%,30.27,0.18,-0.04,20.75
262,688300,联瑞新材,2019/11/30,20191115,72.88,27.28,2019/11/15,4.5,-1.4,-4.03%,61.29,-0.15,-0.01,29.61
263,688301,奕瑞科技,2020/9/30,20200918,74.06,119.6,2020/9/18,1.7,-2.1,-5.81%,33.86,0.06,-0.01,119.58
264,688302,海创药业,2022/4/30,20220412,64.49,42.92,2022/4/12,2.1,8,-17.66%,-29.87,0.37,-0.08,41.3
265,688303,大全能源,2021/7/31,20210722,62.15,21.49,2021/7/22,1,9,12.75%,184.36,0.02,0.14,65.08
266,688305,科德数控,2021/7/31,20210709,76.6,11.03,2021/7/9,1,9,2.73%,853.04,0,0.02,113.8
267,688306,均普智能,2022/3/31,20220322,71.45,5.08,2022/3/22,1.5,8.3,-13.54%,35.43,-0.06,-0.09,6.88
268,688307,中润光学,2023/2/28,20230216,76.2,23.88,2023/2/16,1,-1.4,7.50%,102.18,-0.06,-0.1,48.28
269,688308,欧科亿,2020/12/31,20201210,69.32,23.99,2020/12/10,0.2,-0.4,-5.09%,76.7,-0.17,-0.09,41.68
270,688309,*ST恒誉,2020/7/31,20200714,71.94,24.79,2020/7/14,2.7,-2.4,9.95%,239.73,-0.13,-0.15,84.01
271,688310,迈得医疗,2019/12/31,20191203,72.83,24.79,2019/12/3,4.5,-0.5,12.93%,25.17,-0.1,-0.02,29.71
272,688311,盟升电子,2020/7/31,20200731,74.7,41.58,2020/7/31,2.7,-2.4,26.62%,228.91,0.05,-0.04,149.44
273,688312,燕麦科技,2020/6/30,20200608,72.93,19.68,2020/6/8,2.5,-3,9.64%,210.87,-0.04,-0.05,57.88
274,688313,仕佳光子,2020/8/31,20200812,76.35,10.82,2020/8/12,2.4,-2,-0.10%,269.04,-0.12,0.04,39.74
275,688314,康拓医疗,2021/5/31,20210518,90.58,17.34,2021/5/18,1.3,9,9.23%,430.85,0.11,-0.03,70.72
276,688315,诺禾致源,2021/4/30,20210413,78.51,12.76,2021/4/13,0.9,6.8,15.26%,114.73,-0.09,-0.04,29.84
277,688316,青云科技,2021/3/31,20210316,74.28,63.7,2021/3/16,0.4,4.4,-1.36%,28.93,0.03,-0.14,84.85
278,688317,之江生物,2021/1/31,20210118,66.88,43.22,2021/1/18,-0.3,0.3,-1.09%,73.25,-0.07,0.01,79.68
279,688318,财富趋势,2020/4/30,20200427,72.5,107.41,2020/4/27,3.3,-3.1,4.46%,87.41,-0.12,0.01,140.6
280,688319,欧林生物,2021/6/30,20210608,84.4,9.88,2021/6/8,1.1,8.8,-4.07%,303.85,-0.06,0,39.9
281,688320,禾川科技,2022/4/30,20220428,45.68,23.66,2022/4/28,2.1,8,-18.61%,-16.74,-0.03,0.02,19.7
282,688321,微芯生物,2019/8/31,20190812,80.76,20.43,2019/8/12,2.8,-0.8,3.19%,366.52,-0.11,0.17,102
283,688322,奥比中光,2022/7/31,20220707,70.22,30.99,2022/7/7,2.7,4.2,4.12%,38.85,-0.16,-0.08,43.03
284,688323,瑞华泰,2021/4/30,20210428,88.96,5.97,2021/4/28,0.9,6.8,1.03%,354.27,0.04,-0.02,28.02
285,688325,赛微微电,2022/4/30,20220422,36.79,74.55,2022/4/22,2.1,8,-17.40%,-26.06,-0.2,-0.12,55.12
286,688326,经纬恒润,2022/4/30,20220419,39.31,121,2022/4/19,2.1,8,-22.79%,-17.35,0.03,-0.09,103.2
287,688327,云从科技,2022/5/31,20220527,73.67,15.37,2022/5/27,2.1,6.4,8.82%,39.23,-0.09,0.35,32.3
288,688328,深科达,2021/3/31,20210309,79.18,16.49,2021/3/9,0.4,4.4,1.83%,216.56,-0.23,-0.06,51.36
289,688329,艾隆科技,2021/3/31,20210329,73.23,16.81,2021/3/29,0.4,4.4,-4.93%,68.35,0.02,-0.07,28.17
290,688330,宏力达,2020/10/31,20201015,63.06,88.23,2020/10/15,0.5,-2.1,5.57%,22.97,-0.06,-0.07,105.56
291,688331,荣昌生物,2022/3/31,20220331,54.28,48,2022/3/31,1.5,8.3,3.49%,-14.92,0.01,0.09,44.8
292,688332,中科蓝讯,2022/7/31,20220715,42.34,91.66,2022/7/15,2.7,4.2,-2.15%,-29.85,-0.03,0,63.55
293,688333,铂力特,2019/7/31,20190722,82.55,33,2019/7/22,2.8,-0.3,-0.52%,94.94,-0.11,0.18,50.62
294,688335,复洁环保,2020/8/31,20200817,70.24,46.22,2020/8/17,2.4,-2,6.66%,40.89,0.07,-0.06,49.15
295,688336,三生国健,2020/7/31,20200722,67.56,28.18,2020/7/22,2.7,-2.4,22.48%,91.98,0,-0.07,54.1
296,688337,普源精电,2022/4/30,20220408,54.72,60.88,2022/4/8,2.1,8,-17.63%,-34.66,-0.08,0.04,40.83
297,688338,赛科希德,2020/8/31,20200806,70.79,50.35,2020/8/6,2.4,-2,-6.54%,237.99,-0.12,-0.1,167.72
298,688339,亿华通,2020/8/31,20200810,80.3,76.65,2020/8/10,2.4,-2,5.11%,144.12,-0.06,-0.09,133.66
299,688343,云天励飞,2023/4/30,20230404,75.67,43.92,2023/4/4,0.5,-3.1,-7.39%,137.04,-0.05,0.02,104.11
300,688345,博力威,2021/6/30,20210611,79.82,25.91,2021/6/11,1.1,8.8,8.94%,228.44,-0.19,-0.1,84.84
301,688348,昱能科技,2022/6/30,20220608,74.46,163,2022/6/8,2.5,6.1,16.43%,77.98,0.02,0.15,377
302,688349,三一重能,2022/6/30,20220622,68.34,29.8,2022/6/22,2.5,6.1,16.43%,37.45,0.04,0,43.78
303,688350,富淼科技,2021/1/31,20210128,81.19,13.58,2021/1/28,-0.3,0.3,-9.01%,94.04,0.21,0.2,36.69
304,688351,微电生理,2022/8/31,20220831,50.96,16.51,2022/8/31,2.5,2.3,-3.43%,-20.35,0.03,-0.03,13.89
305,688352,颀中科技,2023/4/30,20230420,73.06,12.1,2023/4/20,0.5,-3.1,-5.16%,43.97,-0.14,-0.03,17.42
306,688353,华盛锂电,2022/7/31,20220713,66,98.35,2022/7/13,2.7,4.2,11.18%,14.13,0.02,0.04,120.94
307,688355,明志科技,2021/5/31,20210512,65.34,17.65,2021/5/12,1.3,9,4.03%,54.11,-0.01,-0.04,26.69
308,688356,键凯科技,2020/8/31,20200826,79.38,41.18,2020/8/26,2.4,-2,-1.32%,232.3,-0.22,-0.07,135.83
309,688357,建龙微纳,2019/12/31,20191204,57.57,43.28,2019/12/4,4.5,-0.5,3.64%,-2.15,-0.01,-0.03,42.67
310,688358,祥生医疗,2019/12/31,20191203,67.36,50.53,2019/12/3,4.5,-0.5,4.47%,2.04,-0.12,-0.01,35.1
311,688359,三孚新科,2021/5/31,20210521,79.26,11.03,2021/5/21,1.3,9,12.98%,253.58,-0.21,0.06,38.82
312,688360,德马科技,2020/6/30,20200602,74.4,25.12,2020/6/2,2.5,-3,5.21%,193.79,-0.02,0.02,72.04
314,688362,甬矽电子,2022/11/30,20221116,70.72,18.54,2022/11/16,1.6,-1.3,4.14%,62.03,0.03,-0.08,30.88
315,688363,华熙生物,2019/11/30,20191106,74.07,47.79,2019/11/6,4.5,-1.4,-7.62%,78.07,0.03,-0.02,98.58
316,688365,光云科技,2020/4/30,20200429,78.89,10.8,2020/4/29,3.3,-3.1,4.46%,252.13,0.13,0.21,42.84
317,688366,昊海生科,2019/10/31,20191030,76.1,89.23,2019/10/30,3.8,-1.6,2.53%,46.48,-0.23,-0.02,128.57
318,688367,工大高科,2021/6/30,20210628,71.67,11.53,2021/6/28,1.1,8.8,0.60%,108.15,-0.07,-0.04,23.74
319,688368,晶丰明源,2019/10/31,20191014,69.96,56.68,2019/10/14,3.8,-1.6,-3.05%,84.12,-0.14,-0.04,100.86
320,688369,致远互联,2019/10/31,20191031,76.65,49.39,2019/10/31,3.8,-1.6,1.69%,55.7,-0.06,-0.02,74.99
321,688370,丛麟科技,2022/8/31,20220825,52.04,59.76,2022/8/25,2.5,2.3,-4.27%,-23.9,-0.06,0,45.48
322,688371,菲沃泰,2022/8/31,20220802,67.32,18.54,2022/8/2,2.5,2.3,-2.33%,57.98,0.25,-0.08,36.7
323,688372,伟测科技,2022/10/31,20221026,71.82,61.49,2022/10/26,2.1,-1.3,6.74%,81.59,-0.03,-0.1,111.66
324,688373,盟科药业,2022/8/31,20220805,67.84,8.16,2022/8/5,2.5,2.3,-3.73%,33.33,0.06,-0.11,11.58
325,688375,国博电子,2022/7/31,20220722,69.83,70.88,2022/7/22,2.7,4.2,4.56%,35.43,0,0.08,103.14
326,688376,美埃科技,2022/11/30,20221118,64.4,29.19,2022/11/18,1.6,-1.3,8.17%,29.15,-0.11,-0.04,37.7
327,688377,迪威尔,2020/7/31,20200708,70.54,16.42,2020/7/8,2.7,-2.4,13.32%,143.61,0.01,-0.02,39.77
328,688378,奥来德,2020/9/30,20200903,72.99,62.57,2020/9/3,1.7,-2.1,-7.97%,51.25,0.06,-0.17,67.71
329,688379,华光新材,2020/8/31,20200819,77.05,16.78,2020/8/19,2.4,-2,6.21%,199.23,-0.25,-0.05,49.26
330,688380,中微半导,2022/8/31,20220805,79.54,30.86,2022/8/5,2.5,2.3,-3.10%,82.11,-0.14,-0.04,56.2
331,688381,帝奥微,2022/8/31,20220823,67.4,41.68,2022/8/23,2.5,2.3,-3.10%,15.81,0.02,-0.06,49.05
332,688382,益方生物,2022/7/31,20220725,50.33,18.12,2022/7/25,2.7,4.2,-2.28%,-15.62,-0.05,0.07,15.73
333,688383,新益昌,2021/4/30,20210428,74.3,19.58,2021/4/28,0.9,6.8,-0.92%,234.53,0.19,0.06,81.98
334,688385,复旦微电,2021/8/31,20210804,76.14,6.23,2021/8/4,0.8,9.5,-9.41%,797.27,0.04,-0.05,58.24
335,688386,泛亚微透,2020/10/31,20201016,88.57,16.28,2020/10/16,0.5,-2.1,3.09%,183.6,-0.18,0.09,45.68
336,688387,信科移动,2022/9/30,20220926,46.2,6.05,2022/9/26,2.8,0.9,-9.93%,-3.31,-0.06,0.04,5.85
337,688388,嘉元科技,2019/7/31,20190722,76,28.26,2019/7/22,2.8,-0.3,-2.28%,100.5,0.06,-0.02,61.04
338,688389,普门科技,2019/11/30,20191105,85.53,9.1,2019/11/5,4.5,-1.4,-3.30%,115.71,-0.08,0.11,19.62
339,688390,固德威,2020/9/30,20200904,78.4,37.93,2020/9/4,1.7,-2.1,-0.78%,255.92,-0.08,-0.12,95.5
340,688391,钜泉科技,2022/9/30,20220913,71.42,115,2022/9/13,2.8,0.9,-12.49%,20.09,0.2,-0.03,165.66
341,688392,骄成超声,2022/9/30,20220927,78.22,71.18,2022/9/27,2.8,0.9,-11.28%,69.46,-0.06,0,120.62
342,688393,安必平,2020/8/31,20200820,71.93,30.56,2020/8/20,2.4,-2,-6.54%,97.91,-0.07,-0.1,59.3
343,688395,正弦电气,2021/4/30,20210429,83.41,15.95,2021/4/29,0.9,6.8,-0.69%,124.58,-0.16,-0.06,35.05
344,688396,华润微,2020/2/29,20200227,61.09,12.8,2020/2/27,5.2,-0.4,6.87%,228.2,0.14,0.03,50.74
345,688398,赛特新材,2020/2/29,20200211,75.78,24.12,2020/2/11,5.2,-0.4,0.91%,252.4,-0.01,-0.1,82.57
346,688399,硕世生物,2019/12/31,20191205,74.07,46.78,2019/12/5,4.5,-0.5,4.47%,17.32,-0.07,-0.01,48.79
347,688400,凌云光,2022/7/31,20220706,69.8,21.93,2022/7/6,2.7,4.2,11.23%,55.4,-0.15,-0.02,34.08
348,688401,路维光电,2022/8/31,20220817,82.03,25.08,2022/8/17,2.5,2.3,-3.10%,129.23,-0.12,-0.08,57.49
349,688403,汇成股份,2022/8/31,20220818,84.1,8.88,2022/8/18,2.5,2.3,-3.10%,90.77,0.03,-0.13,17.49
350,688408,中信博,2020/8/31,20200828,71.35,42.19,2020/8/28,2.4,-2,5.11%,84.4,0.07,-0.02,93.11
351,688409,富创精密,2022/10/31,20221010,67.99,69.99,2022/10/10,2.1,-1.3,6.74%,51.02,0.03,0.18,133
352,688410,山外山,2022/12/31,20221226,44.14,32.3,2022/12/26,1.8,-0.7,-7.30%,-18.98,0,0.01,26.65
353,688416,恒烁股份,2022/8/31,20220829,53.8,65.11,2022/8/29,2.5,2.3,-3.10%,-24.96,0.03,-0.06,52.7
354,688418,震有科技,2020/7/31,20200722,75.99,16.25,2020/7/22,2.7,-2.4,6.01%,158.4,0.32,-0.02,57.77
355,688419,耐科装备,2022/11/30,20221107,73.26,37.85,2022/11/7,1.6,-1.3,4.14%,19.13,-0.05,0.1,47.14
356,688420,美腾科技,2022/12/31,20221209,59.04,48.96,2022/12/9,1.8,-0.7,-6.25%,1.94,-0.01,-0.05,49.91
357,688425,铁建重工,2021/6/30,20210622,73.85,2.87,2021/6/22,1.1,8.8,4.41%,186.41,-0.04,-0.15,8.03
358,688426,康为世纪,2022/10/31,20221025,47.23,48.98,2022/10/25,2.1,-1.3,10.36%,-10.94,0.02,0.01,44.9
359,688428,诺诚健华,2022/9/30,20220921,49.23,11.03,2022/9/21,2.8,0.9,-7.96%,-15.41,-0.04,0.02,9.33
360,688432,有研硅,2022/11/30,20221110,75.51,9.91,2022/11/10,1.6,-1.3,4.14%,91.73,-0.08,0,19
361,688433,华曙高科,2023/4/30,20230417,78.24,26.66,2023/4/17,0.5,-3.1,-4.05%,15.9,-0.13,-0.01,30.9
362,688435,英方软件,2023/1/31,20230119,77.85,38.66,2023/1/19,2.1,-0.8,13.43%,176.77,0.03,-0.04,110
363,688439,振华风光,2022/8/31,20220826,71.05,66.99,2022/8/26,2.5,2.3,-5.17%,49.54,0.12,-0.02,113.6
364,688448,磁谷科技,2022/9/30,20220921,50.17,32.9,2022/9/21,2.8,0.9,-9.35%,-11,0,-0.03,29.3
365,688455,科捷智能,2022/9/30,20220915,63.66,21.88,2022/9/15,2.8,0.9,-9.35%,-3.2,-0.17,-0.1,21.18
366,688456,有研粉材,2021/3/31,20210317,72.67,10.62,2021/3/17,0.4,4.4,-1.57%,290.49,-0.06,-0.03,40.85
368,688459,哈铁科技,2022/10/31,20221012,60.01,13.58,2022/10/12,2.1,-1.3,4.82%,-30.34,-0.04,0.01,9.6
369,688466,金科环境,2020/5/31,20200508,72.65,24.61,2020/5/8,2.4,-3.7,-1.38%,112.52,-0.1,-0.08,51.84
370,688468,科美诊断,2021/4/30,20210409,80.24,7.15,2021/4/9,0.9,6.8,17.94%,248.81,-0.26,-0.02,24.61
372,688475,萤石网络,2022/12/31,20221228,52.66,28.77,2022/12/28,1.8,-0.7,-5.12%,-12.23,-0.03,0.05,27.8
373,688478,晶升股份,2023/4/30,20230424,80.83,32.52,2023/4/24,0.5,-3.1,-5.16%,30.69,0.1,0.02,57.01
375,688480,赛恩斯,2022/11/30,20221125,81.09,19.18,2022/11/25,1.6,-1.3,8.17%,33.11,-0.1,0.02,27.71
376,688484,南芯科技,2023/4/30,20230407,68.39,39.99,2023/4/7,0.5,-3.1,-5.16%,48.41,-0.14,-0.05,59.35
377,688485,九州一轨,2023/1/31,20230118,69.64,17.47,2023/1/18,2.1,-0.8,6.48%,23.41,-0.11,-0.01,21.56
378,688486,龙迅股份,2023/2/28,20230221,79.55,64.76,2023/2/21,1,-1.4,1.06%,35.87,-0.03,0.05,90.11
379,688488,艾迪药业,2020/7/31,20200720,73.65,13.99,2020/7/20,2.7,-2.4,22.48%,121.02,0.21,-0.08,37.41
380,688489,三未信安,2022/12/31,20221202,81.12,78.89,2022/12/2,1.8,-0.7,-5.12%,51.48,0.03,0,123.59
381,688496,清越科技,2022/12/31,20221228,73,9.16,2022/12/28,1.8,-0.7,-5.98%,8.84,0,-0.09,9.97
382,688498,源杰科技,2022/12/31,20221221,71.56,100.66,2022/12/21,1.8,-0.7,-6.31%,15.66,0.05,-0.04,124.39
383,688499,利元亨,2021/7/31,20210701,70.28,38.85,2021/7/1,1,9,12.75%,358.69,-0.07,0.11,195.48
384,688500,慧辰股份,2020/7/31,20200716,76.56,34.21,2020/7/16,2.7,-2.4,7.94%,218.65,-0.24,-0.1,108.7
385,688501,青达环保,2021/7/31,20210716,72.22,10.57,2021/7/16,1,9,0.17%,134.91,-0.18,-0.06,24.55
386,688502,茂莱光学,2023/3/31,20230309,72.51,69.72,2023/3/9,0.7,-2.5,2.26%,175.39,0.03,-0.05,197.55
387,688503,聚和材料,2022/12/31,20221209,68.66,110,2022/12/9,1.8,-0.7,-6.18%,35.37,-0.06,-0.03,148.91
388,688505,复旦张江,2020/6/30,20200619,75.78,8.95,2020/6/19,2.5,-3,12.94%,313.41,-0.11,0.09,36.64
389,688506,百利天恒,2023/1/31,20230106,67.32,24.7,2023/1/6,2.1,-0.8,5.47%,29.76,0.2,0.12,43
390,688507,索辰科技,2023/4/30,20230418,65.04,245.56,2023/4/18,0.5,-3.1,-7.39%,2.62,0.03,0.1,286.8
391,688508,芯朋微,2020/7/31,20200722,72.52,28.3,2020/7/22,2.7,-2.4,10.01%,367.67,0.08,-0.11,141.42
392,688509,正元地信,2021/7/31,20210730,70,1.97,2021/7/30,1,9,-4.32%,321.83,-0.13,-0.02,8.27
393,688510,航亚科技,2020/12/31,20201216,98.96,8.17,2020/12/16,0.2,-0.4,3.06%,355.08,0.03,-0.11,38.17
394,688511,天微电子,2021/7/31,20210730,82.39,28.09,2021/7/30,1,9,3.63%,268.46,0.04,-0.12,105.45
396,688513,苑东生物,2020/9/30,20200902,72.43,44.36,2020/9/2,1.7,-2.1,-9.27%,68.44,-0.02,-0.11,72.95
397,688515,裕太微,2023/2/28,20230210,62.14,92,2023/2/10,1,-1.4,1.06%,152.7,-0.02,0.04,237.6
398,688516,奥特维,2020/5/31,20200521,73.48,23.28,2020/5/21,2.4,-3.7,-1.12%,167.18,0.03,-0.12,43.55
399,688517,金冠电气,2021/6/30,20210618,65.87,7.71,2021/6/18,1.1,8.8,8.94%,101.69,-0.06,0.14,16.03
400,688518,联赢激光,2020/6/30,20200622,73.28,7.81,2020/6/22,2.5,-3,9.64%,235.72,0.04,0.07,28.72
401,688519,南亚新材,2020/8/31,20200818,70.87,32.6,2020/8/18,2.4,-2,-2.87%,88.8,-0.21,-0.08,60.64
402,688520,神州细胞,2020/6/30,20200622,73.83,25.64,2020/6/22,2.5,-3,18.99%,184.98,-0.02,0.04,74
403,688521,芯原股份,2020/8/31,20200818,74.45,38.53,2020/8/18,2.4,-2,-2.87%,284.12,-0.01,-0.13,148
404,688522,纳睿雷达,2023/3/31,20230301,70.71,46.68,2023/3/1,0.7,-2.5,-3.39%,29.39,0,0.01,62
406,688526,科前生物,2020/9/30,20200922,75.87,11.69,2020/9/22,1.7,-2.1,-13.51%,170.15,0.13,-0.03,35
407,688528,秦川物联,2020/7/31,20200701,72.29,11.33,2020/7/1,2.7,-2.4,7.48%,186.41,-0.05,-0.05,31.91
408,688529,豪森股份,2020/11/30,20201109,80.52,20.2,2020/11/9,-0.5,-1.5,1.27%,291.58,-0.18,-0.05,78.17
409,688531,日联科技,2023/3/31,20230331,66.88,152.38,2023/3/31,0.7,-2.5,-2.75%,27.44,0,-0.06,194.3
410,688533,上声电子,2021/4/30,20210419,80.48,7.72,2021/4/19,0.9,6.8,1.85%,316.84,-0.19,-0.15,32.11
411,688535,华海诚科,2023/4/30,20230404,75.1,35,2023/4/4,0.5,3.1,-5.16%,79,0.32,-0.12,83
412,688536,思瑞浦,2020/9/30,20200921,74.74,115.71,2020/9/21,1.7,-2.1,-5.13%,77.17,0.14,0.12,177.19
413,688538,和辉光电,2021/5/31,20210528,66.17,2.65,2021/5/28,1.3,9,5.35%,58.49,-0.05,0.03,4.2
414,688539,高华科技,2023/4/30,20230418,57.37,38.22,2023/4/18,0.5,3.1,-1.61%,-8.42,0.08,0.01,40.64
415,688550,瑞联新材,2020/9/30,20200902,66.38,113.72,2020/9/2,1.7,-2.1,-7.39%,11.84,-0.09,-0.01,87.61
416,688551,科威尔,2020/9/30,20200910,70.23,37.94,2020/9/10,1.7,-2.1,-0.78%,33.1,-0.09,0.02,49.82
418,688553,汇宇制药,2021/10/31,20211026,66.48,38.87,2021/10/26,1.5,13.5,-3.68%,1.9,-0.13,-0.05,39.25
420,688556,高测股份,2020/8/31,20200807,72.74,14.41,2020/8/7,2.4,-2,5.11%,240.39,-0.18,-0.04,34.75
421,688557,兰剑智能,2020/12/31,20201202,74.27,27.7,2020/12/2,0.2,-0.4,-5.09%,137.36,-0.12,-0.01,64.39
422,688558,国盛智科,2020/6/30,20200630,71.35,17.37,2020/6/30,2.5,-3,5.21%,155.04,0.01,-0.04,43.56
423,688559,海目星,2020/9/30,20200909,72.75,14.56,2020/9/9,1.7,-2.1,-7.61%,119.51,-0.25,0.07,31.96
